--------------------------------
OBJECT STRUCTURES (4 bytes each)
--------------------------------
OBJECT   = pointers to palettes/sprites & animations/molds
	   byte 1,2  palette/GFX pointer
	   (bytes AND #$01FF) * 4 + 251800 = offset of pointers
	   byte 3,4  mold + animation sequence pointer

PTRS --- = pointers to whatever follows the ---
PAL      = object's palette
MOLD     = object's mold
GFX      = object's uncompressed sprite graphics

   ///==========\
 ///  CHARACTERS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
----------------------------------------------------------------------------------------
250000 | 251C78 | 257998 | 30C4C0 | 2522CD | 27E606 | [000] | Mario (walking, down-left)
250004 | 251C78 | 257998 | 30C4C0 | 2522D0 | 27E8C1 | [001] | Mario (jump, front)
250008 | 251C78 | 257998 | 30C4C0 | 2522D3 | 27EB33 | [002] | Mario (walking, up-right)
25000C | 251C78 | 257998 | 30C4C0 | 2522D6 | 27EEB2 | [003] | Mario (surprise, left)
250010 | 251C90 | 257B78 | 311680 | 2522D9 | 27F160 | [004] | Mario (attack, up-right)
250014 | 251C90 | 257B78 | 311680 | 2522DC | 27F531 | [005] | Mario (hammer attack, up-right)
250018 | 251C90 | 257B78 | 311680 | 2522DF | 27F7D6 | [006] | Mario (crouch, up-right)
25001C | 251C9C | 257CA4 | 314000 | 2522E8 | 27FB9B | [007] | Toadstool (walking, down-left)
250020 | 251C9C | 257CA4 | 314000 | 2522EB | 360000 | [008] | Toadstool (walking, up-right)
250024 | 251C9C | 257CA4 | 314000 | 2522EE | 36035E | [009] | Toadstool (surprise)
250028 | 251CA0 | 257D3A | 3165E0 | 2522F1 | 3604EE | [00A] | Toadstool (slap attack)
25002C | 251CA0 | 257D3A | 3165E0 | 2522F4 | 3607F7 | [00B] | Toadstool (frying pan attack)
250030 | 251CA0 | 257D3A | 3165E0 | 2522F7 | 36097F | [00C] | Toadstool (fallen/crying)
250034 | 251CA4 | 257DD0 | 318200 | 2522FA | 360D58 | [00D] | Bowser (walking, down-left)
