396754	[00]	Suffering from shock!}
39676C	[01]	CROCO: Yeouch!}
39677C	[02]	MALLOW: Gimme back my coin}{ or I'll belt ya again!}
3967B1	[03]	MALLOW: All right!}{ We got it back!}
3967D7	[04]	CROCO: Oooouch!!!}{ I'm gonna pay ya back in spades, kid!}
396812	[05]	Go on! }{ Take back your grubby old coin!}
39683D	[06]	Adios amigos!}
39684D	[07]	BOWSER: What was that sound?}
39686B	[08]	N...n...NO!!!}
39687B	[09]	It's a chain reaction!!}{ Hang on, Kinklink!!}
3968AB	[0A]	Eyaaaaa!!}
3968B7	[0B]	BOWSER: Coming, Mario?}
3968CF	[0C]	This is IT!}{ I'm gonna take you out, Mario!}
3968FE	[0D]	BOWSER: Fungah! Foiled again!}
39691D	[0E]	TOADSTOOL: Mario! The chain!}{ Aim for the chain!}
396950	[0F]	TOADSTOOL: Fight, Mario!}{ FIGHT!!!}
396975	[10]	BOWSER: This should FINISH you!}
396996	[11]	TOADSTOOL: Oh, Mario!}{ You had me so worried.}{ Let's get out of here!}
3969DF	[12]	TOADSTOOL: Shriek!! Mario!! }{ I'm going to fall!}
396A11	[13]	BOWSER: Mwa ha! Did you think}{ I was just gonna GIVE her to ya?}
396A53	[14]	You're ALWAYS in my way!}
396A6E	[15]	BELOME: Ooooh!}{ Room service has been kind to me!}{ Where's my bib?}
396AB4	[16]	BELOME: Stick for a body,}{ head full of straw, give me}{ a scarecrow, rah, rah, RAH!}
396B0B	[17]	BELOME: If you defeat me,}{ you STILL won't beat me!}{ Beware the flood!}
396B56	[18]	TOADSTOOL: Don't let Bowser}{ bruise you, Mario!}
396B88	[19]	BOWSER: Mario! Prepare yourself}{ for the great beyond!}
396BC1	[1A]	BOWSER: What a joke!!}{ Put some muscle into it!}
396BF3	[1B]	BOWYER: Nya?!}{ And who might you be?}
396C1A	[1C]	???: I serve...a higher authority...}
396C40	[1D]	That Star Piece belongs to everyone.}{ You can't keep it.}
396C7C	[1E]	BOWYER: Nya! NYA!}{ Angry I am!}
396C9D	[1F]	Nya!}{ A lesson I will teach you!}
396CC1	[20]	???: Hey! Chill out!}
396CD7	[21]	MALLOW: Mario!}{ It's dangerous out there!}
396D03	[22]	You're gonna help, huh?}{ Whack that weirdo...}{ Save the guy in blue...}
396D4E	[23]	Me too!}{ I will do what I can!}
396D70	[24]	But...from over here!}
396D88	[25]	Mario... wait!}
396D99	[26]	I'm NOT afraid.}{ And I'm NOT gonna cry!}
396DC4	[27]	Yeouch!}
396DCE	[28]	???: Stop it! That's enough.}
396DEC	[29]	BOWYER: Gunya! Nya!!!}
396E03	[2A]	Strong you are.}{ But stronger am I!}{ Hurt you, I will!}
396E3E	[2B]	So long, nya!!}{ Part, now, we must!}
396E65	[2C]	Nya nya NYA!!}
396E75	[2D]	???: Thanks for the help!}{ But... who are you?}
396EA6	[2E]	MALLOW: Mario! You just...}{ DITCHED me back there!}
396EDB	[2F]	Huh? Don't I know you?}{ You look... familiar!}
396F0C	[30]	???: So! You're THE Mario!}{ WE know about you!}
396F3D	[31]	BOWYER: Knock knock! Nya!}{ Insulted, I am!}
396F6A	[32]	BOWYER: NYAAA!!}{ Now 3 against one!}{ Nyat FAIR!}{ Fix it, I will, nya!}{ Shoot an arrow, I shall.}{ When a target it hits,}{ that Button... LOCKED!}
397001	[33]	BELOME: C...can't s...stand it!}{ The hunger...the HUNGER!}
39703D	[34]	That was SCARY!}
39704F	[35]	It's 1:00.Time to play.}
397069	[36]	It's 3:00. Time to RECOVER!}
397087	[37]	It's 5:00.Time for a break, huh?}
3970AA	[38]	It's 6:00. Time to FULLY RECOVER.}
3970CE	[39]	It's 7:00. DINNER TIME.}
3970E8	[3A]	It's 9:00. Guess I'll break.}
397107	[3B]	It's 10:00. Time to garden.}
397125	[3C]	It's 12:00. It's high noon.}
397143	[3D]	CROCO: You want them back?}{ You've got to take me down first!}
397183	[3E]	CROCO: Yeouch! Enough already!}{ Here's your junk.}{ I'm outta here!}
3971C9	[3F]	KNIFE GUY: Wait!}{ You took all the trouble to}{ come here, so...stick around!}
397219	[40]	KNIFE GUY: Come on, brother!}{ Let's thrash 'em!}
39724B	[41]	KNIFE GUY & GRATE GUY: Yikes!}{ They're pretty tough!}
397282	[42]	GRATE GUY: Whoopdy do!}
