------------
AREA OFFSETS
sorted alphabetically by ID
---------------------------

ID's preceded by ____ are unmapped and unused
ID's followed by *** are legitimate but unused/dummied

BYTE	SPRITE	LAYOUT	EXIT-F	ATTRIB	MAPL	AREA ID
-------------------------------------------------------
[1FF]	14F017	1D242E	1D4905	20FDC5	<2A>	____black BG, nothing there
[001]	148451	1D0052	1D3166	20E403	<00>	____blue BG, nothing there
[032]	148EE5	1D03C4	1D341C	20E700	<00>	____blue BG, nothing there
[124]	14C609	1D14C8	1D4004	20F38B	<28>	____unmapped house room
[125]	14C609	1D14DA	1D4004	20F38E	<28>	____unmapped house room
[126]	14C609	1D14EC	1D4004	20F391	<28>	____unmapped house room
[127]	14C609	1D14FE	1D4004	20F394	<28>	____unmapped house room
[128]	14C609	1D1510	1D4004	20F397	<28>	____unmapped house room
[12A]	14C609	1D1534	1D4004	20F39D	<28>	____unmapped house room
[12B]	14C609	1D1546	1D4004	20F3A0	<28>	____unmapped house room
[12C]	14C609	1D1558	1D4004	20F3A3	<28>	____unmapped house room
[129]	14C609	1D1522	1D4004	20F39A	<02>	____unmapped outside townplace (resembles Seaside Town)
[04C]	1495B1	1D0598	1D34D3	20E8DF	<55>	Bandit's Way, Area 01
[0CF]	14B4E8	1D0ECE	1D3C59	20F07A	<30>	Bandit's Way, Area 02
[04D]	1495F6	1D05AA	1D34E2	20E8E2	<55>	Bandit's Way, Area 03
[04E]	149643	1D05BC	1D34F4	20E8E5	<56>	Bandit's Way, Area 04
[0CE]	14B48B	1D0EBC	1D3C50	20F077	<56>	Bandit's Way, Area 05
[00D]	1486AE	1D012A	1D31D2	20E4BD	<31>	Barrel Volcano, falling into Volcano
[17A]	14D3E2	1D1AD4	1D4310	20F709	<72>	Bean Valley Beanstalks, Area 01
[17B]	14D43B	1D1AE6	1D4346	20F752	<72>	Bean Valley Beanstalks, Area 02
[17C]	14D498	1D1AF8	1D4358	20F7C1	<72>	Bean Valley Beanstalks, Area 03 (from right beanstalk of Area 02)
[17D]	14D4D9	1D1B0A	1D436A	20F81E	<72>	Bean Valley Beanstalks, Area 04 (from left beanstalk of Area 02)
[15C]	14CED4	1D18B8	1D41E0	20F5FB	<4B>	Bean Valley pipe room, bottom left
[15D]	14CF25	1D18CA	1D41E0	20F5FE	<4B>	Bean Valley pipe room, bottom right
[14E]	14CBB2	1D17BC	1D41C5	20F4E9	<4B>	Bean Valley pipe room, left-most pipe
[14F]	14CC03	1D17CE	1D41C5	20F4EC	<4B>	Bean Valley pipe room, right-most pipe (large room)
[15B]	14CE9B	1D18A6	1D41E0	20F5E2	<4B>	Bean Valley pipe room, top pipe (leads to Grate Guy's Casino)
[0FD]	14BE0B	1D120A	1D3E03	20F290	<6F>	Bean Valley, magic brick to Beanstalk Area
[0FC]	14BDC6	1D11F8	1D3DFA	20F25F	<6F>	Bean Valley, main Area
[0FB]	14BD61	1D11E6	1D3DE8	20F23E	<6F>	Bean Valley, piranha pipe Area
[0FE]	14BE28	1D121C	1D3E03	20F298	<6F>	Bean Valley, Smilax Area
[1AC]	14DF90	1D1E58	1D45C9	20FA13	<51>	Belome Temple, Area 01 (w/Warp Trampoline)
[1A4]	14DE44	1D1DC8	1D456F	20F9CE	<51>	Belome Temple, Area 02 (Fortune Room)
[1A8]	14DF60	1D1E10	1D459C	20F9F8	<51>	Belome Temple, Area 03 (pipe to room determined by fortune)
[1A5]	14DE85	1D1DDA	1D4581	20F9E3	<51>	Belome Temple, Area 04 (room determined by fortune)
[1A9]	14DF61	1D1E22	1D45A5	20FA00	<51>	Belome Temple, Area 05 (from Fortune Room)
[1A7]	14DF3B	1D1DFE	1D4593	20F9E9	<51>	Belome Temple, Area 06 (Belome's fortune room w/elevating platform)
[1AA]	14DF82	1D1E34	1D45B7	20FA03	<51>	Belome Temple, Area 07 (pipe to Belome's room)
[10C]	14C111	1D1318	1D3E9A	20F2E5	<84>	Belome Temple, Area 08 (Belome's room)
[1A6]	14DED6	1D1DEC	1D458A	20F9E6	<51>	Belome Temple, Area 09 (Belome's Treasure room)
[1AB]	14DF83	1D1E46	1D45C0	20FA0B	<51>	Belome Temple, Area 10 (pipe to Monstro Town)
[00E]	1486C7	1D013C	1D31D8	20E4C0	<32>	Booster Hill
[036]	148F4D	1D030C	1D342D	20E74E	<32>	Booster Hill, chasing Booster
[064]	149C01	1D0748	1D3634	20EA38	<5F>	Booster Pass, Area 01
[065]	149C72	1D075A	1D363A	20EA47	<5F>	Booster Pass, Area 02
[195]	14D9F1	1D1CBA	1D44A3	20F905	<7D>	Booster Pass, Secret
[0CA]	14B35B	1D0E74	1D3C0E	20F013	<0C>	Booster Tower Entrance
[02B]	148DE2	1D0346	1D33B4	20E6B5	<1D>	Booster Tower, 1F Area 01 (main room)
[0C5]	14B25A	1D0E1A	1D3BC6	20EFE9	<03>	Booster Tower, 1F Area 02 (high Masher room w/teeter-totter)
[0C4]	14B215	1D0E08	1D3BB4	20EFE6	<03>	Booster Tower, 2F Area 01 (w/constantly appearing Spookums)
[0C2]	14B173	1D0DE4	1D3B87	20EFD6	<03>	Booster Tower, 2F Area 02 (Booster's railway room)
[0C1]	14B13E	1D0DD2	1D3B6C	20EFCD	<03>	Booster Tower, 2F Area 03 (steps w/circling Bob-ombs)
[103]	14BF30	1D1276	1D3E15	20F2AC	<03>	Booster Tower, 3F Area 01 (green switch for BP secret)
[02A]	148DBD	1D0334	1D33A2	20E69C	<1D>	Booster Tower, 3F Area 02 (NES Mario room)
[025]	148C64	1D02DA	1D335A	20E5D9	<1D>	Booster Tower, 4F (3-level room w/jumping Spookums)
[027]	148D0A	1D02FE	1D3363	20E61B	<1D>	Booster Tower, 5F (Knife Guy's juggling room)
[0C9]	14B34E	1D0E62	1D3C05	20F00A	<03>	Booster Tower, 6F Area 01 (small room w/save point)
[0C3]	14B1A4	1D0DF6	1D3B99	20EFE3	<03>	Booster Tower, 6F Area 02 (Booster's Ancestor Game room)
[0C8]	14B329	1D0E50	1D3BFC	20F007	<03>	Booster Tower, 6F Area 03 (Elder's Room w/Chomp)
[024]	148C3F	1D02C8	1D3351	20E5D1	<1D>	Booster Tower, 6F Area 04 (3-level w/Thwomp on teeter-totter)
[023]	148BEA	1D02B6	1D3312	20E5CE	<1D>	Booster Tower, 7F (3-level w/parachuting Spookums)
[029]	148D54	1D0322	1D3387	20E621	<1D>	Booster Tower, 8F Area 01 ('minesweeper' room w/coins and hidden Fireballs)
[030]	148EA3	1D03A0	1D3402	20E6F5	<1D>	Booster Tower, 8F Area 02 (locked room w/Zoom Shoes)
[028]	148D3F	1D0310	1D3375	20E61E	<1D>	Booster Tower, 8F Area 03 (2-level w/three Chomps)
[0C6]	14B297	1D0E2C	1D3BD8	20EFF1	<03>	Booster Tower, 8F Area 04 (3-level w/one Chomp)
[026]	148CA9	1D02EC	1D3363	20E606	<1D>	Booster Tower, 9F (Booster's bomb-throwing room w/rail tracks)
[0C7]	14B2C8	1D0E3E	1D3BEA	20EFF4	<03>	Booster Tower, 9F Area 01 (three yellow platforms w/save point)
[0C0]	14B0ED	1D0DC0	1D3B63	20EFAC	<0D>	Booster Tower, 9F Area 02 (Booster's curtain game room)
[102]	14BEEB	1D1264	1D3E15	20F2A9	<6E>	Booster Tower, Balcony at top floor
[003]	14848A	1D0076	1D3166	20E409	<08>	Bowser's Keep 1st time, Area 01
[004]	14848A	1D0088	1D316F	20E40C	<08>	Bowser's Keep 1st time, Area 02
[105]	14BF62	1D129A	1D3E27	20F2B2	<50>	Bowser's Keep 1st time, Area 03 (lava room w/bridge)
[00A]	1485E7	1D00F4	1D31B8	20E496	<0F>	Bowser's Keep 1st time, Area 04 (Throne Room)
[1DC]	14E9D5	1D21B8	1D4760	20FCAD	<08>	Bowser's Keep 2nd Time, Area 01
[1DD]	14E9E2	1D21CA	1D4769	20FCB6	<08>	Bowser's Keep 2nd Time, Area 02
[1DE]	14EA03	1D21DC	1D477B	20FCB9	<50>	Bowser's Keep 2nd Time, Area 03 (lava room w/bridge)
[1DF]	14EA4C	1D21EE	1D478D	20FCBC	<92>	Bowser's Keep 2nd Time, Area 04 (Throne Room)
[142]	14C98A	1D16E4	1D40DE	20F465	<79>	Bowser's Keep 6-door, Action Room 1-A (jumping Terrapin)
[1CA]	14E4F7	1D2074	1D46ED	20FB84	<7F>	Bowser's Keep 6-door, Action Room 1-B (moving platforms)
[1C8]	14E441	1D2050	1D46D2	20FB72	<7B>	Bowser's Keep 6-door, Action Room 1-C (Gorilla throwing barrels)
[141]	14C941	1D16D2	1D40D5	20F462	<79>	Bowser's Keep 6-door, Action Room 2-A (slow elevating platforms)
[1C9]	14E48E	1D2062	1D46DB	20FB7B	<7F>	Bowser's Keep 6-door, Action Room 2-B (cannonball riding)
[1C7]	14E3EC	1D203E	1D46C9	20FB69	<7B>	Bowser's Keep 6-door, Action Room 2-C (very slow moving circling platforms)
[1CB]	14E550	1D2086	1D46FF	20FB8D	<81>	Bowser's Keep 6-door, Battle Room 1-A (1st fight: Terra Cotta)
[1CC]	14E58D	1D2098	1D4708	20FBA8	<81>	Bowser's Keep 6-door, Battle Room 1-B (1st fight: Alley Rat)
[1CD]	14E5CA	1D20AA	1D4711	20FBC3	<81>	Bowser's Keep 6-door, Battle Room 1-C (1st fight: Bob-Omb)
[1CE]	14E607	1D20BC	1D4711	20FBE4	<81>	Bowser's Keep 6-door, Battle Room 2-A (1st fight: Gu Goomba)
[178]	14D368	1D1AB0	1D4307	20F6CD	<81>	Bowser's Keep 6-door, Battle Room 2-B (1st fight: Chewy)
[179]	14D3A5	1D1AC2	1D4310	20F6E8	<81>	Bowser's Keep 6-door, Battle Room 2-C (1st fight: Sparky)
[1BE]	14E2E3	1D1F9C	1D466F	20FAC5	<8D>	Bowser's Keep 6-door, exit room after finishing 4 rooms
[1D0]	14E685	1D20E0	1D471A	20FC02	<82>	Bowser's Keep 6-door, Puzzle Room 1-A (quiz)
[1CF]	14E644	1D20CE	1D471A	20FBFF	<82>	Bowser's Keep 6-door, Puzzle Room 1-B (barrel-counting)
[1D2]	14E6F3	1D2104	1D471A	20FC0E	<82>	Bowser's Keep 6-door, Puzzle Room 1-C (word problem)
[1D3]	14E720	1D2116	1D471A	20FC17	<82>	Bowser's Keep 6-door, Puzzle Room 2-A (coin collecting)
[1D1]	14E69E	1D20F2	1D471A	20FC05	<82>	Bowser's Keep 6-door, Puzzle Room 2-B (green switches)
[1D4]	14E745	1D2128	1D471A	20FC1A	<82>	Bowser's Keep 6-door, Puzzle Room 2-C (ball solitaire)
[1AF]	14E06B	1D1E8E	1D45ED	20FA21	<82>	Bowser's Keep 6-door, Puzzle Rooms ***
[090]	14A6A4	1D0A60	1D38A3	20ED64	<8D>	Bowser's Keep 6-door, treasure after each room
