-----------------------------------------------------------------
Monster Formation Packs $39222A-$392609 (248 packs, 4 bytes each)
-----------------------------------------------------------------
Byte 1-3  formations
Byte 4    set 16-bit formation byte
 00 - formations $00-$FF
 07 - formations $100-$1FF

00	Terrapin
	Terrapin, Terrapin
	Terrapin, Terrapin, Terrapin

01	Terrapin, Terrapin, Terrapin, Terrapin
	Terrapin, Terrapin, Terrapin
	Terrapin, Terrapin

02	Spikey, Spikey
	Spikey, Sky Troopa
	Spikey, Sky Troopa

03	Spikey, Spikey, Spikey
	Spikey, Spikey, Frogog
	Spikey, Spikey, Frogog

04	Sky Troopa
	Sky Troopa, Sky Troopa
	Sky Troopa, Sky Troopa

05	Sky Troopa, Sky Troopa, Goomba
	Sky Troopa, Sky Troopa, Frogog
	Sky Troopa, Sky Troopa

06	Goomba, Goomba
	Goomba, Goomba, Goomba
	Goomba, Goomba

07	Goomba, Frogog, Spikey
	Goomba, Goomba, Spikey
	Goomba, Goomba, Goomba

08	K-9
	K-9, K-9
	K-9, K-9, Spikey

09	K-9, Frogog, Frogog
	K-9, K-9, Spikey
	K-9, K-9

0A	Shyster, Shyster
	Shyster, Shyster, Shyster
	Shyster, Shyster

0B	Shyster, Shyster
	Shyster, Shyster, Shyster
	Shyster, Shyster, Shyster

0C	Rat Funk, Rat Funk
	Rat Funk, Rat Funk, Shadow
	Rat Funk, Rat Funk, Hobgoblin

0D	Rat Funk, Hobgoblin, Hobgoblin
	Rat Funk, Rat Funk, Hobgoblin
	Rat Funk, Rat Funk, Shadow

0E	The Big Boo, Shadow
	The Big Boo, Shadow
	The Big Boo, Shadow, Hobgoblin

0F	The Big Boo, The Big Boo, The Big Boo, Shadow
	The Big Boo, Shadow, Hobgoblin
	The Big Boo, Shadow

10	Goby, Goby
	Goby, Goby
	Goby, Goby, Goby

11	Goby, Goby, Goby
	Goby, Goby, Goby
	Goby, Goby

12	Crook, Crook
	Crook, Crook, Shy Guy
	Crook, Snapdragon, Snapdragon

13	Crook, Starslap, Arachne
	Crook, Snapdragon, Snapdragon
	Crook, Crook, Shy Guy

14	Shy Guy, Starslap
	Shy Guy, Starslap
	Shy Guy, Shy Guy, Snapdragon

15	Shy Guy, Crook, Arachne
	Shy Guy, Shy Guy, Snapdragon
	Shy Guy, Starslap

16	Starslap, Shy Guy
	Starslap, Arachne
	Starslap, Snapdragon, Snapdragon

17	Starslap, Starslap, Starslap, Starslap
	Starslap, Snapdragon, Snapdragon
	Starslap, Arachne

18	Wiggler
	Wiggler, Amanita
	Wiggler, Wiggler

19	Wiggler, Guerrilla
	Wiggler, Wiggler
	Wiggler, Amanita

1A	Amanita, Amanita
	Amanita, Amanita, Buzzer
	Amanita, Amanita, Octolot

1B	Amanita, Guerrilla, Buzzer
	Amanita, Amanita, Octolot
	Amanita, Amanita, Buzzer

1C	Buzzer, Octolot
	Buzzer, Buzzer, Amanita
	Buzzer, Guerrilla

1D	Buzzer, Guerrilla
	Buzzer, Guerrilla
	Buzzer, Buzzer, Amanita

1E	Sparky
	Sparky, Sparky, Shy Ranger
	Sparky, Sparky, Sparky

1F	Sparky, Sparky, Sparky
	Sparky, Sparky, Sparky
	Sparky, Sparky, Shy Ranger

20	Goomba, Shy Ranger, Shy Ranger, Shy Ranger, Shy Ranger
	Goomba, Goomba, Shy Ranger, Shy Ranger
	Goomba, Goomba, Piranha Plant, Piranha Plant

21	Goomba, Piranha Plant, Piranha Plant, Sparky
	Goomba, Goomba, Piranha Plant, Piranha Plant
	Goomba, Goomba, Shy Ranger, Shy Ranger

22	Piranha Plant
	Piranha Plant, Piranha Plant, Shy Ranger
	Piranha Plant, Piranha Plant, Piranha Plant

