-----------------
OBJECT ATTRIBUTES
-----------------
in reference to the object maps

byte 1,2 (10-bit)  object assignment
byte 2	bits 2-7: 
byte 3	BGL priorities
 bit 6	overlap BGL 1
 bit 7	overlap BGL 1,2(just some)
byte 4  bits 0-3: Y pixel shift up
	bit 4: shift 16 pixels down
byte 5	physical field
byte 6	physical field
 bit 0-3 height (0 to 15)
 bit 4	overlap BGL 2
 bit 5
 bit 6
 bit 7
byte 7

OFFSET	BYTE	DATA
------------------------------------
1DB800	[000]	00 1C 80 21 33 2C 00
1DB807	[001]	07 00 80 21 33 2C 00
1DB80E	[002]	0D 20 80 DE 66 2E 00
1DB815	[003]	13 00 80 20 33 28 00
1DB81C	[004]	19 00 80 21 44 2C 00
1DB823	[005]	07 40 80 A0 56 2C 00
1DB82A	[006]	00 5C 80 A0 45 2C 00
1DB831	[007]	07 40 80 A0 33 2C 00
1DB838	[008]	0D 40 80 DE 66 2E 00
1DB83F	[009]	13 40 80 A0 33 28 00
1DB846	[00A]	19 40 80 A0 44 2C 00
1DB84D	[00B]	1F 5C 80 A0 45 2C 00
1DB854	[00C]	EA 08 80 A0 33 21 00
1DB85B	[00D]	19 00 80 A0 44 2C 00
1DB862	[00E]	13 20 80 20 33 28 00
1DB869	[00F]	00 1C 60 A0 45 2C 00
1DB870	[010]	07 00 60 A0 33 2C 00
1DB877	[011]	13 00 60 A0 33 28 00
1DB87E	[012]	19 00 60 A0 44 2C 00
1DB885	[013]	8E 08 80 21 45 2C 00
1DB88C	[014]	7A 08 80 A0 55 2C 00
1DB893	[015]	38 69 80 C0 99 2E 00
1DB89A	[016]	4C 00 80 20 44 2B 00
1DB8A1	[017]	13 00 89 A0 33 28 00
1DB8A8	[018]	6B 00 80 21 8A 2A 00
1DB8AF	[019]	65 48 80 81 E5 05 00
1DB8B6	[01A]	33 00 91 A3 33 2C 00
1DB8BD	[01B]	68 08 8A 01 37 09 00
1DB8C4	[01C]	24 08 80 81 33 0F 00
1DB8CB	[01D]	31 30 80 23 33 2C 00
1DB8D2	[01E]	22 08 80 81 11 01 00
1DB8D9	[01F]	1F 08 80 01 11 01 00
1DB8E0	[020]	20 08 80 81 11 01 00
1DB8E7	[021]	E9 08 80 5F 77 27 00
1DB8EE	[022]	61 08 80 01 88 0C 00
1DB8F5	[023]	51 00 80 81 11 23 00
1DB8FC	[024]	F8 01 80 22 44 29 00
1DB903	[025]	3E 08 80 81 22 23 00
1DB90A	[026]	E0 00 80 21 55 2B 00
1DB911	[027]	A2 00 80 21 44 A9 00
1DB918	[028]	A3 00 80 21 44 A9 00
1DB91F	[029]	A4 00 80 21 44 A9 00
1DB926	[02A]	30 20 80 A2 55 2A 00
1DB92D	[02B]	E2 28 80 81 35 0C 00
1DB934	[02C]	EB 68 80 81 35 0C 00
1DB93B	[02D]	2D 20 89 23 33 2C 00
1DB942	[02E]	2E 20 80 23 33 2C 00
1DB949	[02F]	2F 00 80 23 33 2C 00
1DB950	[030]	30 00 80 22 55 2A 00
1DB957	[031]	BD 48 80 A2 55 2A 00
1DB95E	[032]	32 00 80 22 55 2C 00
1DB965	[033]	33 20 80 23 33 2C 00
1DB96C	[034]	37 00 80 A2 55 2B 00
1DB973	[035]	35 00 80 21 55 2B 00
1DB97A	[036]	36 00 80 21 44 2B 00
1DB981	[037]	37 00 80 22 55 2B 00
1DB988	[038]	38 00 80 21 33 2C 00
1DB98F	[039]	39 20 80 01 33 0A 00
1DB996	[03A]	3A 00 80 20 33 2B 00
1DB99D	[03B]	3B 00 80 01 44 05 00
1DB9A4	[03C]	87 28 80 88 98 08 00
1DB9AB	[03D]	A1 00 80 21 55 28 00
1DB9B2	[03E]	50 08 80 20 44 2B 00
1DB9B9	[03F]	3F 00 80 21 33 2C 00
1DB9C0	[040]	40 00 80 22 33 A7 00
1DB9C7	[041]	41 00 80 21 44 A9 00
1DB9CE	[042]	42 00 80 21 44 A9 00
1DB9D5	[043]	43 00 80 21 44 A9 00
1DB9DC	[044]	44 00 80 21 44 A9 00
1DB9E3	[045]	45 00 80 22 33 A7 00
1DB9EA	[046]	46 00 80 21 33 A9 00
1DB9F1	[047]	47 00 80 22 44 AC 00
1DB9F8	[048]	48 00 80 22 44 AC 00
1DB9FF	[049]	49 00 80 21 33 A6 00
1DBA06	[04A]	4A 00 80 21 33 A6 00
1DBA0D	[04B]	4B 00 80 21 44 AB 00
1DBA14	[04C]	4C 00 80 21 44 AB 00
1DBA1B	[04D]	4D 00 80 21 44 AB 00
1DBA22	[04E]	4E 00 80 21 44 AB 00
1DBA29	[04F]	4F 00 80 20 44 AB 00
1DBA30	[050]	EE 08 80 81 22 03 00
1DBA37	[051]	EF 08 80 01 22 03 00
1DBA3E	[052]	54 08 80 A1 77 2D 00
1DBA45	[053]	55 08 80 A1 77 2D 00
1DBA4C	[054]	58 08 80 A1 77 2D 00
1DBA53	[055]	56 08 80 A1 77 2D 00
1DBA5A	[056]	52 08 80 A1 77 2D 00
1DBA61	[057]	57 08 80 A1 77 2D 00
1DBA68	[058]	53 08 80 A1 77 2D 00
1DBA6F	[059]	59 00 80 81 11 23 00
1DBA76	[05A]	5A 00 80 81 11 23 00
1DBA7D	[05B]	5B 00 80 81 11 23 00
1DBA84	[05C]	5C 00 80 81 11 23 00
1DBA8B	[05D]	69 08 89 7F 66 24 00
1DBA92	[05E]	5E 28 60 1E 77 08 00
1DBA99	[05F]	5F 28 80 19 77 08 00
1DBAA0	[060]	60 08 80 81 22 25 00
1DBAA7	[061]	6F 48 80 C1 99 2F 00
1DBAAE	[062]	62 08 80 01 66 0B 00
1DBAB5	[063]	63 28 80 81 77 0A 00
1DBABC	[064]	64 28 80 81 77 0A 00
1DBAC3	[065]	65 48 80 81 5E 05 00
1DBACA	[066]	66 08 60 1E 77 07 00
1DBAD1	[067]	67 68 80 81 EE 17 00
1DBAD8	[068]	F0 08 80 81 11 01 00
1DBADF	[069]	69 08 80 5E 66 24 00
1DBAE6	[06A]	6A 28 40 98 BB 02 00
1DBAED	[06B]	6A 08 40 01 11 01 00
1DBAF4	[06C]	6C 08 80 01 22 0B 00
1DBAFB	[06D]	6D 08 80 5E 77 23 00
1DBB02	[06E]	6E 28 80 19 77 08 00
1DBB09	[06F]	C3 08 80 01 33 07 00
1DBB10	[070]	70 00 80 21 44 A9 00
1DBB17	[071]	71 00 80 21 44 A9 00
1DBB1E	[072]	72 00 80 20 44 A9 00
1DBB25	[073]	73 00 80 21 44 A9 00
1DBB2C	[074]	74 00 80 22 33 A7 00
1DBB33	[075]	75 00 80 22 33 A7 00
1DBB3A	[076]	76 00 80 21 44 A9 00
1DBB41	[077]	77 00 80 21 44 A9 00
1DBB48	[078]	78 00 80 21 44 A9 00
1DBB4F	[079]	79 00 80 21 44 A9 00
1DBB56	[07A]	FF 08 80 81 11 01 00
1DBB5D	[07B]	69 08 80 9E 66 04 00
1DBB64	[07C]	62 08 80 1E 55 09 00
1DBB6B	[07D]	7D 08 80 01 BB 17 00
1DBB72	[07E]	7E 68 80 81 BB 17 00
1DBB79	[07F]	7F 00 80 01 44 09 00
1DBB80	[080]	80 08 80 99 11 00 00
1DBB87	[081]	82 00 80 01 44 07 00
1DBB8E	[082]	80 08 80 19 11 00 00
1DBB95	[083]	83 88 80 C0 99 2E 00
1DBB9C	[084]	87 08 80 85 76 08 00
1DBBA3	[085]	85 48 80 A1 77 2C 00
1DBBAA	[086]	86 48 80 A1 77 2C 00
1DBBB1	[087]	0C 61 80 A1 44 2D 00
1DBBB8	[088]	0C 41 80 A1 44 2D 00
1DBBBF	[089]	89 08 80 01 44 25 00
1DBBC6	[08A]	8A 08 00 01 33 2C 00
1DBBCD	[08B]	8B 08 00 01 44 2A 00
1DBBD4	[08C]	8C 00 80 21 73 26 00
1DBBDB	[08D]	8C 00 80 21 37 26 00
1DBBE2	[08E]	66 08 60 9E 77 07 00
1DBBE9	[08F]	8F 08 80 41 77 2B 00
1DBBF0	[090]	90 08 00 01 22 02 00
1DBBF7	[091]	91 00 80 21 44 2A 00
1DBBFE	[092]	FE 08 80 81 11 01 00
1DBC05	[093]	BE 08 80 01 33 04 00
1DBC0C	[094]	BF 00 80 01 11 03 00
1DBC13	[095]	FC 68 80 81 11 01 00
1DBC1A	[096]	FB 08 80 01 11 01 00
1DBC21	[097]	FC 28 80 81 11 01 00
1DBC28	[098]	60 08 80 01 11 03 00
1DBC2F	[099]	FA 08 80 01 11 01 00
1DBC36	[09A]	9F 29 80 81 33 01 00
1DBC3D	[09B]	9F 69 80 81 33 01 00
1DBC44	[09C]	00 21 80 A1 44 2B 00
1DBC4B	[09D]	01 21 80 A1 55 29 00
1DBC52	[09E]	06 01 80 A1 44 2A 00
1DBC59	[09F]	5A 21 80 21 33 27 00
1DBC60	[0A0]	B2 00 80 21 44 A9 00
1DBC67	[0A1]	B3 00 80 21 44 A9 00
1DBC6E	[0A2]	B4 00 80 21 44 A9 00
1DBC75	[0A3]	B5 00 80 21 44 A9 00
1DBC7C	[0A4]	B6 00 80 21 44 A9 00
1DBC83	[0A5]	B7 00 80 21 44 A9 00
1DBC8A	[0A6]	B8 00 80 22 33 A7 00
1DBC91	[0A7]	B9 00 80 22 33 A7 00
1DBC98	[0A8]	DF 28 80 81 92 05 00
1DBC9F	[0A9]	68 08 99 01 77 07 00
1DBCA6	[0AA]	68 08 99 01 37 09 00
1DBCAD	[0AB]	68 08 99 01 44 28 00
1DBCB4	[0AC]	0A 09 80 3E 55 2B 00
1DBCBB	[0AD]	0A 09 80 11 33 24 00
1DBCC2	[0AE]	13 21 80 A1 55 2C 00
1DBCC9	[0AF]	80 08 80 81 11 00 00
1DBCD0	[0B0]	6B 00 80 20 44 2A 00
1DBCD7	[0B1]	8D 00 80 21 73 26 00
1DBCDE	[0B2]	8D 00 80 21 37 26 00
1DBCE5	[0B3]	7D 08 80 21 43 2A 00
1DBCEC	[0B4]	92 20 80 A1 66 2A 00
1DBCF3	[0B5]	A5 00 80 21 44 29 00
1DBCFA	[0B6]	A6 00 80 20 44 2B 00
1DBD01	[0B7]	0D 01 8B 21 55 2A 00
1DBD08	[0B8]	95 08 80 01 11 01 00
1DBD0F	[0B9]	98 08 80 00 55 0C 00
1DBD16	[0BA]	96 68 80 81 9E 10 00
1DBD1D	[0BB]	97 48 80 A1 66 2F 00
1DBD24	[0BC]	0E 01 80 A4 55 2B 00
1DBD2B	[0BD]	0E 21 80 A4 55 2B 00
1DBD32	[0BE]	81 40 80 01 33 0A 00
1DBD39	[0BF]	C6 08 80 81 11 01 00
1DBD40	[0C0]	C0 28 80 05 33 26 00
1DBD47	[0C1]	C7 08 80 81 11 01 00
1DBD4E	[0C2]	C1 28 80 01 11 21 00
1DBD55	[0C3]	C2 28 80 05 33 26 00
1DBD5C	[0C4]	C3 08 80 81 33 23 00
1DBD63	[0C5]	C5 08 80 01 11 01 00
1DBD6A	[0C6]	C4 08 80 01 66 0D 00
1DBD71	[0C7]	C3 08 80 01 11 01 00
1DBD78	[0C8]	C8 08 80 81 11 01 00
1DBD7F	[0C9]	C9 08 80 81 11 01 00
1DBD86	[0CA]	CA 28 80 01 22 23 00
1DBD8D	[0CB]	CB 00 00 00 00 00 00
1DBD94	[0CC]	CC 00 00 00 00 00 00
1DBD9B	[0CD]	CD 08 89 80 11 03 00
1DBDA2	[0CE]	CE 00 80 21 44 2B 00
1DBDA9	[0CF]	CF 08 80 80 22 05 00
1DBDB0	[0D0]	D0 08 80 00 55 0C 00
1DBDB7	[0D1]	D1 08 80 00 55 0C 00
1DBDBE	[0D2]	D2 08 80 00 55 0C 00
1DBDC5	[0D3]	D3 08 80 00 55 0C 00
1DBDCC	[0D4]	D4 08 80 00 55 0C 00
1DBDD3	[0D5]	D5 08 80 00 11 03 00
1DBDDA	[0D6]	D6 68 80 80 AA 12 00
1DBDE1	[0D7]	D7 08 80 00 77 03 00
1DBDE8	[0D8]	D8 68 80 80 11 01 00
1DBDEF	[0D9]	D9 68 80 80 11 01 00
1DBDF6	[0DA]	DA 08 80 01 77 07 00
1DBDFD	[0DB]	DB 28 40 81 99 00 00
1DBE04	[0DC]	DC 08 80 80 44 07 00
1DBE0B	[0DD]	DD 48 80 A1 BB 2F 00
1DBE12	[0DE]	DE 08 80 01 22 23 00
1DBE19	[0DF]	68 08 80 61 77 27 00
1DBE20	[0E0]	E0 00 00 00 00 00 00
1DBE27	[0E1]	E1 00 00 00 00 00 00
1DBE2E	[0E2]	E2 00 00 00 00 00 00
